geoid,mort0407,starts0910,REO0910,hc_rt0910,hc_loans
01001020100,233,6,3,21.5,50
01001020200,235,9,5,29.4,69
01001020300,502,20,10,22.7,114
01001020400,646,19,10,NA,NA
01001020500,1451,30,16,NA,NA
01001020600,361,10,6,NA,NA
01001020700,222,8,5,NA,NA
01001020800,1769,52,26,17.2,304
01001020900,562,20,10,27.8,156
01001021000,197,7,3,33,65
01001021100,231,10,5,27.3,63
01003010100,255,10,4,31,79
01003010200,216,8,5,NA,NA
01003010300,711,24,13,24.2,172
01003010400,524,19,9,25.1,132
01003010500,475,15,8,25.3,120
01003010600,239,13,6,46.3,111
01003010701,1275,31,16,11.8,150
01003010703,1843,41,20,11.6,214
01003010704,1100,33,17,NA,NA
01003010705,1328,42,21,16.6,220
01003010800,994,24,10,NA,NA
01003010901,1494,60,29,25.4,379
01003010902,1338,49,25,25.4,340
01003011000,403,14,7,25.8,104
01003011100,1728,46,24,NA,NA
01003011201,514,10,5,12.1,62
01003011202,654,20,10,NA,NA
01003011300,585,19,10,NA,NA
01003011401,1272,40,20,20.1,256
01003011403,1153,23,11,NA,NA
01003011404,8921,199,100,NA,NA
01003011500,2105,65,31,18.8,396
01003011600,1374,36,19,NA,NA
01005950100,197,10,6,NA,NA
01005950200,117,7,4,59,69
01005950300,64,6,2,57.1,37
01005950400,150,6,4,40.4,61
01005950500,241,11,5,35.3,85
01005950600,119,7,3,43.2,51
01005950700,94,4,2,31.6,30
01005950800,175,11,5,38.1,67
01005950900,282,16,8,NA,NA
01007010000,793,37,18,NA,NA
01007010100,469,25,14,NA,NA
01007010200,468,24,12,NA,NA
01009050101,861,39,20,NA,NA
01009050102,665,31,14,NA,NA
01009050200,402,19,9,32.8,132
01009050300,488,24,12,40,195
01009050400,366,20,10,47,172
01009050500,721,37,18,NA,NA
01009050600,1638,63,31,NA,NA
01009050700,964,43,21,NA,NA
01011952100,45,3,1,77.8,35
01011952200,299,19,8,68.9,206
01011952300,57,2,1,45.6,26
01011952400,55,3,2,54.5,30
01013952700,163,9,5,50.9,83
01013952800,190,10,5,37.9,72
